Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29298796,11/16/2014 01:50:20 AM,11/16/2014 02:08:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11234,5020 AVENUE N,AVENUE N,UTICA AVENUE,EAST 51 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,11/16/2014 09:50:20 AM,11/16/2014 02:08:53 AM,18 BROOKLYN,BROOKLYN,1004632,164789,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.618960747942644,-73.9265825301071,"(40.618960747942644, -73.9265825301071)"
29298543,11/16/2014 01:48:10 AM,11/16/2014 01:48:59 AM,TLC,Taxi and Limousine Commission,Taxi Report,Driver Report,,10001,1 WEST 32 STREET,WEST 32 STREET,5 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,11/16/2014 01:48:59 AM,05 MANHATTAN,MANHATTAN,988159,211550,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,40.747331591485846,-73.98589236309921,"(40.747331591485846, -73.98589236309921)"
29295347,11/16/2014 01:47:29 AM,11/16/2014 02:15:19 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10017,,,,,LEXINGTON AVENUE,EAST   48 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/16/2014 09:47:29 AM,11/16/2014 02:15:19 AM,05 MANHATTAN,MANHATTAN,991654,214433,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75524246160156,-73.97327568440589,"(40.75524246160156, -73.97327568440589)"
29294318,11/16/2014 01:47:24 AM,11/16/2014 01:47:53 AM,TLC,Taxi and Limousine Commission,Taxi Report,Driver Report,,11226,550 OCEAN AVENUE,OCEAN AVENUE,CHURCH AVENUE,TENNIS COURT,,,ADDRESS,BROOKLYN,,N/A,Closed,,11/16/2014 01:47:53 AM,14 BROOKLYN,BROOKLYN,995103,175871,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,40.64939527878987,-73.96088886258141,"(40.64939527878987, -73.96088886258141)"
29299596,11/16/2014 01:46:59 AM,11/16/2014 02:03:16 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,232 EAST 9 STREET,EAST 9 STREET,STUYVESANT STREET,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,11/16/2014 09:46:59 AM,11/16/2014 02:03:16 AM,03 MANHATTAN,MANHATTAN,987510,205091,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72960350054764,-73.9882377434201,"(40.72960350054764, -73.9882377434201)"
29295340,11/16/2014 01:46:36 AM,11/16/2014 03:02:00 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10019,738 10 AVENUE,10 AVENUE,WEST 50 STREET,WEST 51 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/16/2014 09:46:36 AM,11/16/2014 03:01:36 AM,04 MANHATTAN,MANHATTAN,986572,217950,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.764898520094874,-73.9916176584863,"(40.764898520094874, -73.9916176584863)"
29296104,11/16/2014 01:46:30 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11214,85 STREET,85 STREET,23 AVENUE,24 AVENUE,,,BLOCKFACE,BROOKLYN,,Precinct,Assigned,11/16/2014 09:46:30 AM,11/16/2014 01:57:46 AM,11 BROOKLYN,BROOKLYN,987062,158062,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6005195120504,-73.98987376703289,"(40.6005195120504, -73.98987376703289)"
29296199,11/16/2014 01:45:58 AM,11/16/2014 02:30:14 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,157-10 RIVERSIDE DRIVE,RIVERSIDE DRIVE,BEND,WEST 158 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/16/2014 09:45:58 AM,11/16/2014 02:07:48 AM,12 MANHATTAN,MANHATTAN,998435,243713,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.835599826010004,-73.94873820959107,"(40.835599826010004, -73.94873820959107)"
29300637,11/16/2014 01:45:11 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,10022,,,,,EAST   60 STREET,2 AVENUE,INTERSECTION,NEW YORK,,N/A,Open,11/30/2014 01:45:11 AM,,08 MANHATTAN,MANHATTAN,994255,216617,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76123442230889,-73.9638842741059,"(40.76123442230889, -73.9638842741059)"
29295275,11/16/2014 01:44:52 AM,11/16/2014 02:24:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11215,,,,,4 AVENUE,PRESIDENT STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,11/16/2014 09:44:52 AM,11/16/2014 01:55:35 AM,06 BROOKLYN,BROOKLYN,988834,185846,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67677991001183,-73.98347377988699,"(40.67677991001183, -73.98347377988699)"
